"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2008-09";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.16";"";"";"";"2"
"2008-10";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.46";"";"";"";"2"
"2008-11";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.51";"";"";"";"2"
"2008-12";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"6.17";"";"";"";"2"
"2009-01";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.78";"";"";"";"2"
"2009-02";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.28";"";"";"";"2"
"2009-03";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.14";"";"";"";"2"
"2009-04";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"4.79";"";"";"";"2"
"2009-05";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"4.62";"";"";"";"2"
"2009-06";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"4.90";"";"";"";"2"
"2009-07";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.14";"";"";"";"2"
"2009-08";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.13";"";"";"";"2"
"2009-09";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"4.97";"";"";"";"2"
"2009-10";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.00";"";"";"";"2"
"2009-11";"Canada";"2016A000011124";"Pourcent";"239";"unités";"0";"v733833";"1";"5.06";"";"";"";"2"
