"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Estimations de logement";"Type d'unité";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2013";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"555";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"560";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"579";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"646";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"750";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"632";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"588";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"578";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"690";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements en construction";"Logements jumelés";"Unités";"300";"unités";"0";"v731767";"1.2.3";"662";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1323";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1274";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"869";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"698";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"732";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"712";"";"";"";"0"
"2011";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"699";"";"";"";"0"
"2012";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"745";"";"";"";"0"
"2013";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"931";"";"";"";"0"
"2014";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"905";"";"";"";"0"
"2015";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"944";"";"";"";"0"
"2016";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"855";"";"";"";"0"
"2017";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1390";"";"";"";"0"
"2018";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1223";"";"";"";"0"
"2019";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1126";"";"";"";"0"
"2020";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1076";"";"";"";"0"
"2021";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1178";"";"";"";"0"
"2022";"Grandes régions urbaines";"";"Logements en construction";"Logements en bande";"Unités";"300";"unités";"0";"v731815";"1.2.4";"1515";"";"";"";"0"
"2005";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"4324";"";"";"";"0"
"2006";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"4436";"";"";"";"0"
"2007";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"3376";"";"";"";"0"
"2008";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"2893";"";"";"";"0"
"2009";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"2520";"";"";"";"0"
"2010";"Grandes régions urbaines";"";"Logements en construction";"Appartements et autres logements";"Unités";"300";"unités";"0";"v731863";"1.2.5";"3060";"";"";"";"0"
